,Player,Nation,Pos,Squad,League,Value,Value_num,Age,Launched.Cmp%,Passes.Launch%,Passes.AvgLen,Goal Kicks.Launch%,Goal Kicks.AvgLen,Total.Att,Total.Cmp%,Total.Dist,Total.PrgDist,Short.Att,Short.Cmp%,Medium.Att,Medium.Cmp%,Advance_Cluster
93,Rúnar Alex Rúnarsson,is ISL,GK,Dijon,France, £1.08m,1080000.0,24.0,42.1,37.8,35.9,64.2,49.2,32.7,72.5,749.5,499.8,0.1,100.0,12.6,99.2,2
94,Rune Jarstein,no NOR,GK,Hertha BSC,Germany, £720Th.,720000.0,34.0,46.8,57.6,43.1,75.6,53.5,35.6,65.3,866.5,608.7,0.07,50.0,9.08,100.0,2
95,Salvatore Sirigu,it ITA,GK,Torino,Italy, £5.85m,5850000.0,32.0,47.9,48.1,40.0,63.5,45.2,32.3,70.6,789.8,500.0,0.06,50.0,8.89,99.1,2
96,Samir Handanović,si SVN,GK,Inter,Italy, £4.32m,4320000.0,35.0,52.1,24.2,29.4,29.5,30.3,31.8,86.7,704.4,371.1,0.06,100.0,16.4,100.0,0
97,Sergio Asenjo,es ESP,GK,Villarreal,Spain, £8.55m,8550000.0,30.0,36.8,39.3,37.2,54.6,44.8,30.6,71.4,652.6,369.1,0.06,100.0,11.3,99.0,2
98,Sergio Herrera,es ESP,GK,Osasuna,Spain, £1.08m,1080000.0,26.0,36.3,74.6,52.9,91.9,64.4,33.3,47.7,731.7,572.3,0.11,50.0,3.42,95.2,1
99,Stéphane Ruffier,fr FRA,GK,Saint-Étienne,France, £2.16m,2160000.0,32.0,37.0,48.8,39.5,63.1,46.6,28.0,66.0,584.0,392.4,0.05,100.0,9.95,99.1,2
100,Steve Mandanda,fr FRA,GK,Marseille,France, £2.16m,2160000.0,34.0,34.7,44.5,40.0,61.3,48.4,32.2,67.8,677.9,407.9,0.04,0.0,10.9,99.7,2
101,Thibaut Courtois,be BEL,GK,Real Madrid,Spain, £43.20m,43200000.0,27.0,28.9,26.1,33.0,38.8,40.3,31.9,78.3,644.5,318.3,0.03,0.0,15.4,99.8,2
102,Thomas Strakosha,al ALB,GK,Lazio,Italy, £18.00m,18000000.0,24.0,44.6,40.7,34.5,25.3,27.2,32.2,77.9,646.6,415.3,1.76,98.5,13.1,99.0,0
103,Tim Krul,nl NED,GK,Norwich City,England,£3.60m,3600000.0,31.0,35.6,45.1,39.8,55.3,45.1,43.1,67.5,911.3,534.4,0.14,20.0,13.3,99.4,2
104,Timo Horn,de GER,GK,Köln,Germany, £3.60m,3600000.0,26.0,49.5,53.9,42.2,50.0,40.7,35.0,72.9,870.9,583.4,0.06,100.0,11.1,99.7,2
105,Tom Heaton,eng ENG,GK,Aston Villa,England,£4.32m,4320000.0,33.0,33.6,57.7,45.9,73.0,56.6,30.9,57.0,646.1,476.6,0.1,100.0,7.99,100.0,2
106,Tomáš Koubek,cz CZE,GK,Augsburg,Germany, £3.15m,3150000.0,26.0,32.8,54.1,45.2,72.6,57.3,35.0,59.5,741.4,437.9,0.0,,8.63,100.0,1
107,Tomáš Vaclík,cz CZE,GK,Sevilla,Spain, £13.05m,13050000.0,30.0,42.8,40.1,37.3,60.3,48.1,28.3,72.6,655.3,388.9,0.09,66.7,9.32,99.0,2
108,Unai Simón,es ESP,GK,Athletic Club,Spain, £14.40m,14400000.0,22.0,41.9,61.7,47.2,90.7,66.4,33.3,58.7,821.1,603.0,0.12,25.0,5.75,99.0,1
109,Vicente Guaita,es ESP,GK,Crystal Palace,England,£3.60m,3600000.0,32.0,33.4,57.4,44.3,82.8,62.0,30.1,56.1,616.9,437.4,0.17,83.3,6.89,100.0,1
110,Walter Benítez,ar ARG,GK,Nice,France, £7.20m,7200000.0,26.0,42.9,22.7,27.6,34.4,34.0,30.2,83.3,602.0,345.5,0.08,100.0,16.7,98.8,0
111,Wojciech Szczęsny,pl POL,GK,Juventus,Italy, £28.80m,28800000.0,29.0,54.0,28.5,32.5,19.9,26.8,26.4,86.2,612.7,302.9,0.28,75.0,11.7,99.7,0
112,Yann Sommer,ch SUI,GK,M'Gladbach,Germany, £8.55m,8550000.0,30.0,47.3,30.2,33.1,37.2,36.4,45.4,82.2,1052.5,528.7,0.12,50.0,19.3,98.9,0
113,Zack Steffen,us USA,GK,Düsseldorf,Germany, £5.40m,5400000.0,24.0,47.7,48.6,41.9,66.4,55.3,36.5,71.1,927.0,604.6,0.12,100.0,10.1,99.4,2
